fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
89612.mol,-133.90568049126932,NAD+.mol,minimize,67.33859133720398,,,,,,,molSizeTiming,,
3682.mol,67.56991180644994,FADH2.mol,minimize,85.9522316455841,,,,,,,molSizeTiming,,
3806.mol,48.763999840589285,leastNAD+.mol,minimize,19.40659737586975,,,,,,,molSizeTiming,PYM,
25161.mol,50.59814223685385,leastNAD+.mol,minimize,21.34700322151184,,,,,,,molSizeTiming,PYM,
43604.mol,81.73201281840298,leastNAD+.mol,minimize,18.43439030647278,,,,,,,molSizeTiming,PYM,
50446.mol,-145.68515985396328,NAD+.mol,minimize,60.81998801231384,,,,,,,molSizeTiming,,
50956.mol,1135.6496589258766,leastNAD+.mol,minimize,7.33666729927063,,,,,,,molSizeTiming,PYM,
63915.mol,77.9131710114246,leastNAD+.mol,minimize,12.950217962265015,,,,,,,molSizeTiming,PYM,
80395.mol,92.65833654677841,leastNAD+.mol,minimize,16.471635580062866,,,,,,,molSizeTiming,PYM,
82610.mol,295.4306776534848,FADH2.mol,minimize,78.91307520866394,,,,,,,molSizeTiming,,
922.mol,43.571152737944594,leastNAD+.mol,minimize,20.51973056793213,,,,,,,molSizeTiming,PYM,
9102.mol,-89.28036710020243,NAD+.mol,minimize,58.6466326713562,,,,,,,molSizeTiming,,
19701.mol,51.195139563291846,leastNAD+.mol,minimize,18.771385192871094,,,,,,,molSizeTiming,PYM,
42000.mol,45.2181560725545,leastNAD+.mol,minimize,22.290926694869995,,,,,,,molSizeTiming,PYM,
59117.mol,45.09217704221959,leastNAD+.mol,minimize,17.107499837875366,,,,,,,molSizeTiming,PYM,
60397.mol,-52.52114996172986,FADH2.mol,minimize,77.7746787071228,,,,,,,molSizeTiming,,
69348.mol,-70.12368184731747,NAD+.mol,minimize,60.23563575744629,,,,,,,molSizeTiming,,
76577.mol,47.121127979476,leastNAD+.mol,minimize,17.445526838302612,,,,,,,molSizeTiming,PYM,
93275.mol,190.68176685735165,leastNAD+.mol,minimize,16.68853783607483,,,,,,,molSizeTiming,PYM,
10497.mol,108.37825318088915,leastNAD+.mol,minimize,17.213812828063965,,,,,,,molSizeTiming,PYM,
29030.mol,80.47262141984166,leastNAD+.mol,minimize,18.52379059791565,,,,,,,molSizeTiming,PYM,
29550.mol,-130.08513260529202,NAD+.mol,minimize,60.183674573898315,,,,,,,molSizeTiming,,
40170.mol,39.54241126636879,FADH2.mol,minimize,79.761403799057,,,,,,,molSizeTiming,,
42736.mol,116.76563233116639,leastNAD+.mol,minimize,13.697301626205444,,,,,,,molSizeTiming,PYM,
65024.mol,48.54854078167898,leastNAD+.mol,minimize,22.280676126480103,,,,,,,molSizeTiming,PYM,
84001.mol,100.96431646815527,leastNAD+.mol,minimize,18.96871256828308,,,,,,,molSizeTiming,PYM,
90470.mol,-97.1650886298238,NAD+.mol,minimize,60.9091055393219,,,,,,,molSizeTiming,,
11759.mol,45.7340617664183,leastNAD+.mol,minimize,27.749937772750854,,,,,,,molSizeTiming,PYM,
25800.mol,108.64333514626142,FADH2.mol,minimize,85.61655378341675,,,,,,,molSizeTiming,,
48358.mol,67.686016150225,leastNAD+.mol,minimize,36.58856439590454,,,,,,,molSizeTiming,PYM,
67188.mol,-137.094207129476,NAD+.mol,minimize,76.70835757255554,,,,,,,molSizeTiming,,
69369.mol,48.45942288291427,leastNAD+.mol,minimize,20.9989070892334,,,,,,,molSizeTiming,PYM,
93023.mol,70.89416321092399,leastNAD+.mol,minimize,23.6431405544281,,,,,,,molSizeTiming,PYM,
6608.mol,190.11075548053427,leastNAD+.mol,minimize,13.57598090171814,,,,,,,molSizeTiming,PYM,
23991.mol,-23.433564198065767,FADH2.mol,minimize,98.1673219203949,,,,,,,molSizeTiming,,
24357.mol,96.05230859580794,leastNAD+.mol,minimize,17.740999221801758,,,,,,,molSizeTiming,PYM,
33472.mol,-91.17773987225667,NAD+.mol,minimize,66.26933217048645,,,,,,,molSizeTiming,,
38968.mol,63.66975977072592,leastNAD+.mol,minimize,14.600375890731812,,,,,,,molSizeTiming,PYM,
63343.mol,33.7607493554152,leastNAD+.mol,minimize,24.367995738983154,,,,,,,molSizeTiming,PYM,
74056.mol,190.85324285307416,leastNAD+.mol,minimize,10.70484733581543,,,,,,,molSizeTiming,PYM,
92844.mol,46.80400650426674,NAD+.mol,minimize,59.35989284515381,,,,,,,molSizeTiming,,
96414.mol,52.4347636482143,leastNAD+.mol,minimize,22.349730491638184,,,,,,,molSizeTiming,PYM,
5780.mol,98.23193477836088,FADH2.mol,minimize,81.77648568153381,,,,,,,molSizeTiming,,
22217.mol,96.59969126418979,leastNAD+.mol,minimize,25.78293776512146,,,,,,,molSizeTiming,PYM,
37277.mol,144.08019781618114,leastNAD+.mol,minimize,15.05283522605896,,,,,,,molSizeTiming,PYM,
55406.mol,-141.13464737757454,NAD+.mol,minimize,62.547529220581055,,,,,,,molSizeTiming,,
56570.mol,65.76599320447558,leastNAD+.mol,minimize,19.28282928466797,,,,,,,molSizeTiming,PYM,
